"DPNOM","Nom_Capital","Year","predicted_adjustment","adjustment_factor","total_prevalence"
"Sucre","Sincelejo",2020,2.0369521901476,1.92422672532838,0.00600508286283879
"Sucre","Sincelejo",2021,1.85956084282142,1.86448217376953,0.0073885131431991
"Sucre","Sincelejo",2022,1.76497022258008,1.81328747185385,0.00906115776004252
"Sucre","Sincelejo",2023,1.76579613662232,1.8126563174113,0.00885484143525038
"Tolima","Ibagué",2020,1.80209329840102,1.77516481009671,0.0140994297945757
"Tolima","Ibagué",2021,1.78351901082851,1.7761525318332,0.0122938816413955
"Tolima","Ibagué",2022,1.88295210831804,1.81230946062985,0.0128965026521946
"Tolima","Ibagué",2023,1.85305407950451,1.79584532093762,0.012052504944815
"Valle del Cauca","Cali",2020,1.80655918864584,1.78682409706127,0.0136858683243477
"Valle del Cauca","Cali",2021,1.81308840729045,1.78362595795966,0.0132464572060476
"Valle del Cauca","Cali",2022,1.6526443275455,1.66153321828233,0.0104973129043359
"Valle del Cauca","Cali",2023,1.69281194147301,1.70952471846828,0.0110179761070495
"Vaupés","Mitú",2020,2.61717520620858,2.65536741651102,0.00373182344614593
"Vaupés","Mitú",2021,2.60877944227432,2.57208705106933,0.0046383352137395
"Vaupés","Mitú",2022,2.30576707627794,2.31844562955258,0.00694698354661792
"Vaupés","Mitú",2023,3.76404281322386,3.72951921697123,0.00545346769413159
"Vichada","Puerto Carreño",2020,2.68485635151474,2.6610437996439,0.00352824578790882
"Vichada","Puerto Carreño",2021,2.90758847224682,2.91300183800956,0.00257761267578939
"Vichada","Puerto Carreño",2022,2.9760981514922,2.97813595705336,0.00291534565066871
"Vichada","Puerto Carreño",2023,2.67095118192268,2.73655280636901,0.00214562082307422
