"Cod_Capital","DP","DPNOM","Nom_Capital","Year","Poblacion_Mun","Poblacion_Depto","Poblacion_DeptoH","Poblacion_DeptoM","Pob40_Depto","Pob40H_Depto","Pob40M_Depto","Tabaquismo","TabacoTasa","Muertes_H","Muertes_M","Muertes_Total","Tasa_Mort","Muerte_40","Tasa_40_Mort","A - AMBULATORIO","H - HOSPITALARIO","U - EN URGENCIA","N - NO APLICA","Pacientes","patients_rate","Dx_Confirmado","Espiro","Espiro_Tasa","Consulta","ConsultaTasa","Procedimientos","Urgencias","Hospitalizacion","HospitaTasa","total_prevalence","lethality_rate","Espiro_Nal","spirometry_rate","Espiro_Deficit","biomass_stove_usage","multidimensional_poverty_index","pop_over_40_percent","spirometry_score","lethality_score","access_score","bias_index_score","adjustment_factor"
23001,23,"Córdoba","Montería","2022",518608,1882211,935690,946521,674932,328361,346571,0.0240728692257645,2407.28692257645,223,221,444,23.59,442,65.4880787990494,1408,368,273,4275,4655,247.315524136242,2083,312,16.576249952848,4097,217.669538643648,1871,622,500,26.5645031295641,0.00689699110428902,9538.13104189044,2219,117.893264889006,987.186735110994,0.78,0.23,0.358584664524859,0.893316986200994,0.122207671119074,0,1.01552465732007,2.01552465732007
23001,23,"Córdoba","Montería","2023",523150,1898911,943703,955208,690063,335143,354920,0.0269576379974326,2695.76379974326,247,224,471,24.8,469,67.9648090101918,900,379,386,3417,3706,195.164491648108,1339,248,13.0601170881626,3275,172.46727203118,1443,610,431,22.6972196169278,0.00537052414054949,12709.1203453859,1633,85.9966580845548,1019.08334191545,0.74,0.214,0.363399337830999,0.922180604042644,0.495290039749842,0,1.41747064379249,2.41747064379249
25001,25,"Cundinamarca","Cundinamarca","2020",12497,3147954,1555059,1592895,1182249,562379,619870,0.0611229566453447,6112.29566453447,529,410,939,29.83,933,78.9173854238828,3126,435,451,14783,16049,509.82320580288,4651,750,23.8249987134501,14266,453.183242194772,3853,1481,1173,37.2622979878359,0.013574974476612,5850.83182752819,3069,97.4918947354377,1007.58810526456,0.918,0.141,0.375561078719702,0.911778428045537,0,0,0.911778428045537,1.91177842804554
25001,25,"Cundinamarca","Cundinamarca","2021",12771,3233689,1596732,1636957,1228420,583643,644777,0.00308219178082192,308.219178082192,442,390,832,25.73,824,67.0780351996874,3294,380,297,12634,14055,434.642910929282,3659,600,18.5546600183258,12286,379.937588308585,3819,1145,906,28.017536627672,0.0114415265137331,5919.60156527926,5399,166.961015731569,938.118984268431,0.358,0.149,0.37988192432853,0.848914996442277,0,0,0.848914996442277,1.84891499644228
25001,25,"Cundinamarca","Cundinamarca","2022",13182,3334637,1645909,1688728,1280322,607714,672608,0.0882841022236973,8828.41022236973,570,515,1085,32.54,1073,83.8070422909237,3102,796,577,12988,14088,422.474770117407,3335,1006,30.1682012165042,12557,376.562726317737,4085,1164,1392,41.7436740490794,0.0110034819365753,7701.59000567859,5473,164.125810395554,940.954189604446,0.385,0.113,0.383946438547884,0.851480607380865,0,0,0.851480607380865,1.85148060738086
25001,25,"Cundinamarca","Cundinamarca","2023",13638,3445327,1700296,1745031,1338417,635148,703269,0.0788623141564318,7886.23141564318,555,518,1073,31.14,1066,79.6463284611597,3402,882,665,14227,15307,444.28293743961,3639,1069,31.0275338160935,14004,406.463595472941,4623,1085,1410,40.9249978303946,0.0114366449320354,7009.86476775332,7302,211.939244083363,893.140755916637,0.395,0.129,0.388473140575626,0.808213664093674,0,0,0.808213664093674,1.80821366409367
94001,94,"Guainía","Inírida","2020",34026,52006,27035,24971,10447,5469,4978,0.0810810810810811,8108.10810810811,5,1,6,11.54,6,57.4327558150665,16,2,6,53,58,111.525593200785,17,0,0,53,101.911317924855,20,10,1,1.92285505518594,0.0055518330621231,10344.8275862069,0,0,1105.08,0.915,0.273,0.200880667615275,1,0.217119456910366,0.427604814224429,1.6447242711348,2.6447242711348
94001,94,"Guainía","Inírida","2021",35041,53583,27803,25780,10867,5655,5212,0.0263157894736842,2631.57894736842,4,1,5,9.33,5,46.0108585626208,29,9,13,61,63,117.574603885561,13,3,5.59879066121718,61,113.842076778083,44,12,10,18.6626355373906,0.00579736817889022,7936.50793650794,0,0,1105.08,0.775,0.221,0.202806860384824,1,0,0.396558805005386,1.39655880500539,2.39655880500539
94001,94,"Guainía","Inírida","2022",36024,55091,28535,26556,11264,5827,5437,0.0526315789473684,5263.15789473684,2,5,7,12.71,7,62.1448863636364,20,2,13,55,57,103.46517580004,5,2,3.63035704561544,55,99.8348187544245,32,14,4,7.26071409123087,0.00506036931818182,12280.701754386,0,0,1105.08,0.702,0.176,0.204461708809061,1,0.444884501478392,0.468974189478248,1.91385869095664,2.91385869095664
94001,94,"Guainía","Inírida","2023",37015,56551,29244,27307,11648,5993,5655,0.0769230769230769,7692.30769230769,2,3,5,8.84,5,42.9258241758242,20,4,2,42,43,76.037559017524,6,1,1.76831532598893,41,72.5009283655461,23,3,6,10.6098919559336,0.00369162087912088,11627.9069767442,0,0,1105.08,0.809,0.166,0.205973369171191,1,0.368080009705452,0.609743992651094,1.97782400235655,2.97782400235655
95001,95,"Guaviare","San José del Guaviare","2020",56294,89050,47149,41901,25466,13804,11662,0.0579710144927536,5797.10144927536,13,0,13,14.6,13,51.0484567658839,52,5,0,299,325,364.963503649635,80,1,1.12296462661426,297,333.520494104436,57,4,5,5.61482313307131,0.012762114191471,4000,90,101.066816395284,1004.01318360472,0.915,0.261,0.285974171813588,0.908543439031306,0,0,0.908543439031306,1.90854343903131
95001,95,"Guaviare","San José del Guaviare","2021",57717,91717,48373,43344,26441,14208,12233,0.0704225352112676,7042.25352112676,12,7,19,20.72,19,71.8580991641769,64,0,1,215,242,263.855119552537,89,0,0,211,230.055496799939,65,1,12,13.0837249364894,0.00915245263038463,7851.23966942149,97,105.760109903289,999.31989009671,0.891,0.247,0.288288975871431,0.904296422066014,0,0,0.904296422066014,1.90429642206601
95001,95,"Guaviare","San José del Guaviare","2022",59555,94625,49688,44937,27477,14631,12846,0.0833333333333333,8333.33333333333,10,5,15,15.85,15,54.5911125668741,124,12,1,278,331,349.801849405548,85,2,2.11360634081902,270,285.336856010568,137,14,29,30.6472919418758,0.0120464388397569,4531.72205438066,350,369.881109643329,735.198890356671,0.893,0.185,0.290377807133421,0.665290196507647,0,0,0.665290196507647,1.66529019650765
95001,95,"Guaviare","San José del Guaviare","2023",61403,97616,51032,46584,28562,15076,13486,0.0810810810810811,8108.10810810811,9,7,16,16.39,16,56.0184861004131,91,2,3,219,268,274.545156531716,82,2,2.04884445172922,217,222.299623012621,95,13,10,10.2442222586461,0.0093830964218192,5970.14925373134,89,91.1735781019505,1013.90642189805,0.898,0.205,0.292595476151451,0.917495947712428,0,0,0.917495947712428,1.91749594771243
41001,41,"Huila","Neiva","2020",367781,1136911,566780,570131,385246,185302,199944,0.0423913043478261,4239.13043478261,140,100,240,21.11,239,62.0382820327791,1432,260,313,4419,4617,406.100389564355,2275,38,3.34239003756671,4304,378.569650570713,1808,483,565,49.6960624006628,0.0119845501316042,5198.18063677713,841,73.9723689893052,1031.10763101069,0.944,0.129,0.338853261161164,0.933061525872059,0,0,0.933061525872059,1.93306152587206
41001,41,"Huila","Neiva","2021",371590,1151211,573417,577794,393271,188781,204490,0.0550755939524838,5507.55939524838,130,99,229,19.89,229,58.22956688899,1379,377,306,4259,4616,400.969066487377,2038,118,10.2500757897553,4133,359.013247788633,1822,418,492,42.7376041403357,0.0117374533082785,4961.00519930676,1509,131.079359040176,974.000640959824,0.518,0.109,0.341615047111259,0.881384733195627,0,0,0.881384733195627,1.88138473319563
41001,41,"Huila","Neiva","2022",375660,1164463,579492,584971,401502,192385,209117,0.0402969247083775,4029.69247083775,168,143,311,26.71,309,76.9610114021848,999,552,468,4150,4422,379.745857103231,1955,127,10.9063147562439,4037,346.683406857925,1747,485,644,55.3044622285122,0.0110136437676525,7033.01673450927,1452,124.692669496583,980.387330503417,0.549,0.1,0.344795841516648,0.887164124319884,0,0,0.887164124319884,1.88716412431988
41001,41,"Huila","Neiva","2023",380019,1178453,586146,592307,410891,196736,214155,0.0408805031446541,4088.05031446541,189,151,340,28.85,338,82.2602588034296,1069,524,359,3903,4240,359.793729575978,2103,181,15.359119116333,3814,323.644642594995,1721,502,522,44.2953601034577,0.0103190383824421,8018.8679245283,1587,134.668077555914,970.411922444086,0.541,0.075,0.348669823913215,0.878137259242848,0,0,0.878137259242848,1.87813725924285
44001,44,"La Guajira","Riohacha","2020",206087,964067,472935,491132,235758,110003,125755,0.0266666666666667,2666.66666666667,58,35,93,9.65,93,39.447229786476,306,32,45,1009,1105,114.618589786809,217,118,12.2398132080032,965,100.096777506128,360,145,81,8.40190567668015,0.00468700956065118,8416.28959276018,424,43.9803457643504,1061.09965423565,0.956,0.131,0.244545244262069,0.960201663441244,0,0.411730284399933,1.37193194784118,2.37193194784118
44001,44,"La Guajira","Riohacha","2021",212481,993081,487258,505823,245608,114426,131182,0.0181818181818182,1818.18181818182,65,43,108,10.88,104,42.3438975929123,345,26,16,1137,1244,125.266720438715,342,145,14.6010244884355,1101,110.8670893915,378,110,55,5.5383196335445,0.00506498159669066,8681.67202572347,747,75.2204502955952,1029.8595497044,0.811,0.107,0.247319201555563,0.931932122293775,0.0214410876321717,0.357079701087749,1.3104529110137,2.3104529110137
44001,44,"La Guajira","Riohacha","2022",217719,1017121,499180,517941,254669,118485,136184,0.0318877551020408,3188.77551020408,59,37,96,9.44,95,37.3033231370917,344,40,23,1351,1472,144.72221102504,371,96,9.43840506685045,1288,126.63193464691,395,176,105,10.3232555418677,0.00578005175345252,6521.73913043478,776,76.2937742903745,1028.78622570963,0.858,0.1,0.250382206246848,0.930960858679576,0,0.257226126415743,1.18818698509532,2.18818698509532
44001,44,"La Guajira","Riohacha","2023",222541,1038397,509809,528588,263679,122571,141108,0.035,3500,65,62,127,12.23,124,47.0268773774172,389,22,26,1510,1602,154.276254650196,358,114,10.9784600687406,1471,141.660655799275,422,156,85,8.18569391090306,0.00607556915795342,7927.59051186018,676,65.1003421620055,1039.97965783799,0.86,0.118,0.25392889232153,0.94108992818438,0,0.208190847438266,1.14928077562265,2.14928077562265
47001,47,"Magdalena","Santa Marta","2020",530107,1426023,713399,712624,458377,222641,235736,0.0436643835616438,4366.43835616438,183,141,324,22.72,320,69.8115306832585,729,135,143,3080,3316,232.53481886337,904,221,15.4976462511474,2984,209.25328693857,953,351,205,14.3756447126028,0.00723421986705267,9770.8082026538,979,68.6524691396983,1036.4275308603,0.913,0.125,0.321437312020914,0.937875566348411,0.149583274741636,0,1.08745884109005,2.08745884109005
47001,47,"Magdalena","Santa Marta","2021",540204,1454154,727037,727117,472541,229082,243459,0.0304826418289585,3048.26418289585,183,117,300,20.63,299,63.2749327571576,807,96,57,3429,3683,253.274412476258,1045,215,14.7852290747748,3390,233.125239830169,928,169,155,10.6591186353027,0.00779403268711075,8145.53353244638,1441,99.0954190546531,1005.98458094535,0.913,0.133,0.324959392196425,0.91032737986874,0,0,0.91032737986874,1.91032737986874
47001,47,"Magdalena","Santa Marta","2022",548202,1476366,737830,738536,485572,235040,250532,0.0265339966832504,2653.39966832504,186,150,336,22.76,334,68.7848557989341,952,184,110,3519,3753,254.205258045769,1103,288,19.5073579315698,3456,234.088295178838,1185,314,286,19.3718901681561,0.00772902885668861,8952.83772981615,1508,102.142693613914,1002.93730638609,0.926,0.104,0.328896764081535,0.907569864974559,0.0533450562336451,0,0.960914921208204,1.9609149212082
47001,47,"Magdalena","Santa Marta","2023",555030,1496163,747566,748597,498967,241278,257689,0.0337171052631579,3371.71052631579,196,141,337,22.52,336,67.3391226273481,1156,188,209,3944,4246,283.792608158336,1160,414,27.6707818599979,3886,259.731058714859,1471,338,261,17.4446233465204,0.00850958079392024,7936.88177107866,2067,138.15339638796,966.92660361204,0.929,0.098,0.333497753921197,0.874983352890325,0,0,0.874983352890325,1.87498335289032
50001,50,"Meta","Villavicencio","2020",553409,1082032,545923,536109,370423,182671,187752,0.0538720538720539,5387.20538720539,114,89,203,18.76,200,53.9923276902352,578,174,215,3079,3270,302.20917680808,1751,212,19.592766202848,3028,279.843849350112,857,133,246,22.735002291984,0.00882774557735346,6207.95107033639,1034,95.5609445931359,1009.51905540686,0.699,0.381,0.342340152601772,0.913525767733435,0,0,0.913525767733435,1.91352576773343
50001,50,"Meta","Villavicencio","2021",561834,1098104,553223,544881,381875,187885,193990,0.0653377630121816,6533.77630121816,108,81,189,17.21,188,49.2307692307692,553,83,128,2696,2890,263.180900898276,1524,271,24.678901087693,2664,242.599972315919,692,79,163,14.8437670748854,0.00756792144026187,6539.79238754325,1664,151.533916641775,953.546083358225,0.894,0.303,0.347758500105637,0.862875161398473,0,0,0.862875161398473,1.86287516139847
50001,50,"Meta","Villavicencio","2022",569806,1113810,560315,553495,393611,193265,200346,0.0693069306930693,6930.69306930693,200,126,326,29.27,321,81.5525988857019,567,108,196,2903,3193,286.673669656405,1616,147,13.1979421984001,2866,257.314981908943,794,200,304,27.2937035939702,0.00811207003869302,10209.834011901,1093,98.1316382506891,1006.94836174931,0.868,0.26,0.35339151201731,0.911199516550214,0.20123680401196,0,1.11243632056217,2.11243632056217
50001,50,"Meta","Villavicencio","2023",577875,1130085,567823,562262,406151,199130,207021,0.0727470141150923,7274.70141150923,166,131,297,26.28,292,71.8944431996967,1077,90,240,2712,3244,287.058053155294,1553,383,33.8912559674715,2670,236.265413663574,1313,142,251,22.2107186627555,0.00798717718287041,9155.36374845869,1612,142.644137387896,962.435862612104,0.852,0.231,0.359398629306645,0.870919628092178,0.077173230822953,0,0.948092858915131,1.94809285891513
52001,52,"Nariño","Pasto","2020",402073,1665454,813861,851593,612588,284315,328273,0.0529369108049311,5293.69108049311,231,170,401,24.08,398,64.9702573344564,1519,357,481,5917,6619,397.429169463702,2752,251,15.0709656345957,5691,341.708627197149,2165,799,521,31.2827613371489,0.0108049782235369,6058.31696630911,832,49.9563482389787,1055.12365176102,0.89,0.19,0.367820426142061,0.954793907917093,0,0,0.954793907917093,1.95479390791709
52001,52,"Nariño","Pasto","2021",405730,1678786,819621,859165,625978,289998,335980,0.0564399421128799,5643.99421128799,228,185,413,24.6,411,65.6572595203026,1758,229,404,5202,6123,364.727845002281,2418,458,27.2816189794292,5043,300.395643042055,2227,489,364,21.6823347347428,0.00978149391831662,6745.05961130165,1479,88.0993765733095,1016.98062342669,0.874,0.166,0.372875399246837,0.920277829140597,0,0,0.920277829140597,1.9202778291406
52001,52,"Nariño","Pasto","2022",408358,1689002,823743,865259,638568,295276,343292,0.0539956803455724,5399.56803455724,274,223,497,29.43,489,76.577592362912,1343,67,80,2743,3474,205.683593033046,1458,556,32.9188479350528,2659,157.430245790117,1463,219,300,17.7619683102803,0.00544029766602774,14306.2751871042,1854,109.768964157532,995.311035842468,0.912,0.105,0.378074152665302,0.900668762299985,0.683203102326722,0,1.58387186462671,2.58387186462671
52001,52,"Nariño","Pasto","2023",410835,1699570,828257,871313,651766,300961,350805,0.0675287356321839,6752.87356321839,241,196,437,25.71,435,66.7417447366079,2562,81,107,2733,4810,283.012762051578,1478,700,41.1868884482546,2688,158.157651641298,2687,278,305,17.9457156810252,0.00737994924558814,9085.23908523909,1740,102.378836999947,1002.70116300005,0.889,0.129,0.383488764805215,0.907356176023503,0.0689227219282797,0,0.976278897951783,1.97627889795178
54001,54,"Norte de Santander","Cúcuta","2020",770173,1617209,797612,819597,559410,262520,296890,0.0701624815361891,7016.24815361891,252,178,430,26.59,427,76.3304195491679,2293,181,685,6771,7330,453.250012830747,3565,918,56.764462725597,6692,413.799329585725,2927,367,429,26.5271835613084,0.0131030907563326,5866.30286493861,2611,161.450993656355,943.629006343645,0.961,0.111,0.345910763543859,0.853901080775731,0,0,0.853901080775731,1.85390108077573
54001,54,"Norte de Santander","Cúcuta","2021",786991,1654341,815414,838927,578417,271377,307040,0.0633187772925764,6331.87772925764,201,184,385,23.27,384,66.3880902532256,2802,134,360,6951,7605,459.699662886914,4064,1131,68.3655908908744,6886,416.238248341787,3126,236,225,13.6005817422164,0.0131479538118693,5062.45890861275,3571,215.856344006465,889.223655993535,0.868,0.086,0.349635897315003,0.804669033910246,0,0,0.804669033910246,1.80466903391025
54001,54,"Norte de Santander","Cúcuta","2022",798411,1678975,827184,851791,594410,278807,315603,0.0441389290882779,4413.89290882779,240,212,452,26.92,449,75.5370871957067,2945,211,523,6703,7496,446.462871692551,3804,933,55.5696183683497,6599,393.037418663172,3438,400,393,23.4071382837743,0.0126108241785973,6029.8826040555,3676,218.943105168332,886.136894831668,0.859,0.097,0.354031477538379,0.801875787120994,0,0,0.801875787120994,1.80187578712099
54001,54,"Norte de Santander","Cúcuta","2023",806378,1696740,835793,860947,609573,285965,323608,0.0625449317038102,6254.49317038102,265,220,485,28.58,483,79.2357929238992,3145,209,515,7355,8187,482.513525937975,4080,828,48.7994624986739,7249,427.231043059043,3593,474,389,22.9263175265509,0.013430712974492,5924.02589471113,3040,179.167108690784,925.912891309216,0.849,0.072,0.359261289295944,0.837869558139878,0,0,0.837869558139878,1.83786955813988
86001,86,"Putumayo","Mocoa","2020",60157,364883,183311,181572,109554,53942,55612,0.023728813559322,2372.8813559322,39,22,61,16.72,61,55.6803037771327,244,73,137,832,926,253.779978787721,508,65,17.8139293965463,790,216.507757281101,383,166,106,29.0504079389832,0.00845245267174179,6587.47300215983,179,49.0568209535659,1056.02317904643,0.901,0.261,0.300244187862959,0.955607900827482,0,0,0.955607900827482,1.95560790082748
86001,86,"Putumayo","Mocoa","2021",61796,371213,186095,185118,113323,55518,57805,0.0334448160535117,3344.48160535117,29,26,55,14.82,54,47.6514035103201,250,42,70,878,937,252.415728975009,524,75,20.2040338026955,844,227.362727059667,334,110,79,21.2815822721726,0.00826840094243887,5869.79722518677,387,104.252814421909,1000.82718557809,0.95,0.268,0.305277563016381,0.905660391626028,0,0,0.905660391626028,1.90566039162603
86001,86,"Putumayo","Mocoa","2022",62960,377095,188611,188484,117027,57044,59983,0.0360655737704918,3606.55737704918,31,16,47,12.46,46,39.3071684312167,95,21,16,356,385,102.096288733608,217,26,6.89481430408783,344,91.2236969463928,122,29,39,10.3422214561317,0.00328983909696053,12207.7922077922,130,34.4740715204391,1070.60592847956,0.962,0.226,0.310338243678649,0.968804003764036,0.436306337462188,0.475999880570386,1.88111022179661,2.88111022179661
86001,86,"Putumayo","Mocoa","2023",63639,383042,191218,191824,120930,58698,62232,0.0385852090032154,3858.52090032154,32,28,60,15.66,60,49.6154800297693,126,35,24,417,456,119.046997457198,226,28,7.30990335263496,404,105.471462659447,166,64,51,13.3144668208708,0.00377077648226247,13157.8947368421,132,34.4609729481362,1070.61902705186,0.945,0.228,0.315709504440766,0.968815856817483,0.548090537298272,0.389001875983233,1.90590827009899,2.90590827009899
63001,63,"Quindio","Armenia","2020",302613,553321,266678,286643,247053,113621,133432,0.0897959183673469,8979.59183673469,146,128,274,49.52,272,110.097833258451,1616,42,107,4423,5070,916.28548347162,2007,545,98.4961713002037,4262,770.258132259575,1730,461,372,67.2304141718822,0.0205219123022186,5404.3392504931,2193,396.334135158434,708.745864841566,0.924,0.196,0.446491277215215,0.641352539944227,0,0,0.641352539944227,1.64135253994423
63001,63,"Quindio","Armenia","2021",304700,557099,268351,288748,250723,115095,135628,0.0643863179074447,6438.63179074447,151,117,268,48.11,267,106.492025063516,1401,46,73,4318,4883,876.504894103202,2024,224,40.2082933194998,4202,754.264502359545,1479,302,416,74.6725447362139,0.0194756763440131,5488.42924431702,2663,478.011987097446,627.068012902554,0.967,0.195,0.450051068122542,0.567441282895857,0,0,0.567441282895857,1.56744128289586
63001,63,"Quindio","Armenia","2022",306147,559810,269632,290178,254101,116539,137562,0.0673267326732673,6732.67326732673,202,158,360,64.31,357,140.495314855117,1447,126,69,4665,4912,877.440560190065,2719,445,79.4912559618442,4597,821.171468891231,1570,344,480,85.7433772172701,0.0193308959823062,7328.99022801303,3478,621.28222075347,483.79777924653,0.956,0.133,0.453905789464283,0.437794349048512,0,0,0.437794349048512,1.43779434904851
63001,63,"Quindio","Armenia","2023",307886,563076,271252,291824,258022,118303,139719,0.0740740740740741,7407.40740740741,202,206,408,72.46,407,157.738487415802,1208,182,93,4834,5070,900.411312149692,2655,430,76.3662454091455,4779,848.730899558852,1416,330,424,75.3006698918086,0.0196494872530249,8047.33727810651,2492,442.569031533932,662.510968466068,0.957,0.15,0.458236543557175,0.5995140337949,0,0,0.5995140337949,1.5995140337949
66001,66,"Risaralda","Pereira","2020",477068,962779,460389,502390,405523,183186,222337,0.0653983353151011,6539.83353151011,239,173,412,42.79,411,101.350601568838,2869,406,489,9051,9950,1033.46666265051,5095,1078,111.967543953493,8981,932.820512287867,3497,476,782,81.2232090645932,0.0245362161948891,4140.70351758794,4884,507.281525666846,597.798474333154,0.826,0.278,0.421200503957814,0.540954930261297,0,0,0.540954930261297,1.5409549302613
66001,66,"Risaralda","Pereira","2021",479864,968287,462725,505562,411824,185569,226255,0.0671378091872792,6713.78091872792,203,151,354,36.56,352,85.4734061152337,2023,430,494,8504,9165,946.516890136912,5269,161,16.6273016161531,8361,863.483657221464,2741,525,750,77.4563739882907,0.022254652472901,3862.52045826514,5230,540.12911461168,564.95088538832,0.955,0.228,0.425311916818051,0.511230757400659,0,0,0.511230757400659,1.51123075740066
66001,66,"Risaralda","Pereira","2022",480739,970138,463280,506858,416773,187312,229461,0.0789779326364692,7897.79326364692,294,257,551,56.8,548,131.486444659323,2177,685,616,8721,9192,947.494067854264,4697,869,89.5748852225147,8613,887.811837078849,3135,702,852,87.822557203202,0.022055171520228,5994.34290687554,5903,608.470135176645,496.609864823355,0.918,0.208,0.429601767995893,0.449388157258619,0,0,0.449388157258619,1.44938815725862
66001,66,"Risaralda","Pereira","2023",481768,972304,464067,508237,422179,189348,232831,0.0756880733944954,7568.80733944954,254,222,476,48.96,474,112.274651273512,1625,554,375,8075,8409,864.85296779608,4671,349,35.8941236485708,7947,817.336964570752,2321,718,929,95.546248909806,0.019918091615168,5660.60173623499,3892,400.286330201254,704.793669798746,0.922,0.132,0.434204734321776,0.637776151770683,0,0,0.637776151770683,1.63777615177068
68001,68,"Santander","Bucaramanga","2020",600098,2282208,1117702,1164506,891078,413697,477381,0.0427698574338086,4276.98574338086,308,252,560,24.54,553,62.0596625660156,1979,334,568,10799,11443,501.400398210856,4459,330,14.4596811508855,10621,465.382646980468,2659,777,650,28.4811901456835,0.0128417489826929,4893.82155029276,4849,212.469678486799,892.610321513201,0.96,0.119,0.390445568502082,0.807733667710212,0,0,0.807733667710212,1.80773366771021
68001,68,"Santander","Bucaramanga","2021",604462,2312097,1131704,1180393,913093,423448,489645,0.0347782258064516,3477.82258064516,262,231,493,21.32,487,53.3352024383059,2335,196,274,10060,10843,468.968213703837,4236,309,13.3644911956549,9963,430.90752680359,2682,417,363,15.7000333463518,0.0118750225880606,4546.71216453011,7464,322.823826163003,782.256173836997,0.893,0.07,0.39491984981599,0.707872890502947,0,0,0.707872890502947,1.70787289050295
68001,68,"Santander","Bucaramanga","2022",610125,2335238,1142452,1192786,933400,432450,500950,0.0470941883767535,4709.41883767535,344,268,612,26.21,612,65.5667452324834,1687,428,410,11568,11929,510.825877276749,5325,328,14.045677571194,11379,487.273674032368,2344,858,842,36.0562820577603,0.0127801585601029,5130.35459803839,11422,489.115028104202,615.964971895798,0.888,0.088,0.399702300150991,0.557394009389183,0,0,0.557394009389183,1.55739400938918
68001,68,"Santander","Bucaramanga","2023",614860,2357127,1153060,1204067,955297,442654,512643,0.0582716049382716,5827.16049382716,272,245,517,21.93,513,53.7005768886535,1766,367,452,11643,12065,511.851928216002,5471,350,14.848584738964,11471,486.651758687589,2375,921,908,38.5214712656552,0.0126295801201092,4285.12225445504,9714,412.111863297989,692.968136702011,0.904,0.05,0.405280241582231,0.627075086601885,0,0,0.627075086601885,1.62707508660188
70001,70,"Sucre","Sincelejo","2020",295047,950612,477583,473029,328555,162218,166337,0.0367088607594937,3670.88607594937,95,70,165,17.36,161,49.0024501225061,472,81,90,1749,1973,207.550504306699,604,143,15.0429407581642,1702,179.042553639129,597,169,110,11.5714928908955,0.00600508286283879,8362.89913836797,796,83.7355303741169,1021.34446962588,0.555,0.39,0.345624713342562,0.924226725328377,0,0,0.924226725328377,1.92422672532838
70001,70,"Sucre","Sincelejo","2021",301745,966893,485373,481520,337551,166320,171231,0.0413016270337922,4130.16270337922,60,61,121,12.51,121,35.846435057221,894,80,61,2282,2494,257.93960655419,1047,525,54.2976316924417,2232,230.842502738152,990,155,110,11.3766466403211,0.0073885131431991,4851.64394546913,1448,149.758039410772,955.321960589228,0.71,0.257,0.349108950007912,0.864482173769526,0,0,0.864482173769526,1.86448217376953
70001,70,"Sucre","Sincelejo","2022",306168,980942,492082,488860,346203,170327,175876,0.0296296296296296,2962.96296296296,90,109,199,20.29,197,56.9030308807261,1214,111,123,2888,3137,319.79464637053,1145,629,64.1220377963223,2830,288.498198670258,1361,287,212,21.611879193673,0.00906115776004252,6343.64042078419,2024,206.332280603746,898.747719396254,0.708,0.279,0.352929123230527,0.813287471853851,0,0,0.813287471853851,1.81328747185385
70001,70,"Sucre","Sincelejo","2023",310456,994060,498455,495605,355060,174554,180506,0.0342298288508557,3422.98288508557,109,95,204,20.52,203,57.1734354756943,1147,217,168,2696,3144,316.278695450979,561,430,43.2569462607891,2635,265.074542784138,1403,286,230,23.13743637205,0.00885484143525038,6488.54961832061,2058,207.029756755125,898.050243244875,0.719,0.254,0.357181659054785,0.812656317411296,0,0,0.812656317411296,1.8126563174113
73001,73,"Tolima","Ibagué","2020",536439,1354338,670530,683808,558746,266981,291765,0.0587726879861711,5877.26879861711,274,209,483,35.66,480,85.9066552601719,1553,161,190,7603,7878,581.686403246457,3847,671,49.544500708095,7381,544.989507789045,1828,691,557,41.1271041645439,0.0140994297945757,6130.99771515613,3365,248.460871658331,856.61912834167,0.392,0.659,0.412560232379214,0.775164810096707,0,0,0.775164810096707,1.77516481009671
73001,73,"Tolima","Ibagué","2021",537856,1361931,673551,688380,566786,270126,296660,0.0611541774332472,6115.41774332472,245,188,433,31.79,432,76.2192432417173,1055,131,153,6639,6968,511.626506776041,3636,273,20.0450683624941,6501,477.336957599174,1287,381,369,27.0938836108437,0.0122938816413955,6214.12169919633,3369,247.369360121768,857.710639878232,0.908,0.573,0.416163520765736,0.776152531833199,0,0,0.776152531833199,1.7761525318332
73001,73,"Tolima","Ibagué","2022",539745,1367802,675842,691960,574807,273413,301394,0.0438144329896907,4381.44329896907,343,282,625,45.69,622,108.210234043775,1184,217,197,7090,7413,541.964407129102,3927,363,26.5389288800572,6906,504.89763869332,1516,525,680,49.7147979020355,0.0128965026521946,8431.13449345744,2837,207.413061247169,897.666938752831,0.914,0.465,0.420241379965814,0.812309460629847,0,0,0.812309460629847,1.81230946062985
73001,73,"Tolima","Ibagué","2023",542046,1374384,678763,695621,583945,277482,306463,0.0674061433447099,6740.61433447099,324,282,606,44.09,605,103.605647792172,1062,142,181,6807,7038,512.083959068208,3959,395,28.7401483137173,6661,484.653488399167,1329,461,573,41.6914050221772,0.012052504944815,8610.40068201194,3299,240.034808321401,865.045191678599,0.951,0.521,0.424877617900092,0.782789654756759,0.0130556661808649,0,0.795845320937624,1.79584532093762
76001,76,"Valle del Cauca","Cali","2020",2264427,4582377,2177920,2404457,1800105,801034,999071,0.0528497409326425,5284.97409326425,702,629,1331,29.05,1307,72.606875710028,7182,1883,1660,19876,24636,537.624905152937,10350,1606,35.0473127811177,19535,426.307132739188,10066,1366,1479,32.2758254067703,0.0136858683243477,5402.66276993018,10795,235.576426819531,869.503573180469,0.76,0.346,0.392832148031469,0.786824097061271,0,0,0.786824097061271,1.78682409706127
