"Cod_Capital","DP","DPNOM","Nom_Capital","Year","Poblacion_Mun","Poblacion_Depto","Poblacion_DeptoH","Poblacion_DeptoM","Pob40_Depto","Pob40H_Depto","Pob40M_Depto","Tabaquismo","TabacoTasa","Muertes_H","Muertes_M","Muertes_Total","Tasa_Mort","Muerte_40","Tasa_40_Mort","A - AMBULATORIO","H - HOSPITALARIO","U - EN URGENCIA","N - NO APLICA","Pacientes","patients_rate","Dx_Confirmado","Espiro","Espiro_Tasa","Consulta","ConsultaTasa","Procedimientos","Urgencias","Hospitalizacion","HospitaTasa","total_prevalence","lethality_rate","Espiro_Nal","spirometry_rate","Espiro_Deficit","biomass_stove_usage","multidimensional_poverty_index","pop_over_40_percent","spirometry_score","lethality_score","access_score","bias_index_score","adjustment_factor"
8001,8,"Atlántico","Barranquilla","2023",1323551,2803565,1368515,1435050,1020419,471225,549194,0.0348982135438305,3489.82135438305,368,274,642,22.9,636,62.3273380836696,700,218,362,6270,6595,235.236208184936,1209,289,10.3083038916522,6142,219.078209351308,1187,401,407,14.5172307401469,0.00646303136260693,9734.64746019712,5725,204.204289895187,900.875710104813,0.966,0.099,0.363971942865601,0.815213115887368,0.145328786897003,0,0.960541902784371,1.96054190278437
11001,11,"Bogotá, D.C.","Bogotá_DC","2020",7732161,7732161,3703072,4029089,2971107,1319020,1652087,0.0886150234741784,8861.50234741784,922,997,1919,24.82,1908,64.2184882604363,12166,1950,935,49328,55189,713.759064251249,18499,2584,33.4188592296513,48529,627.625317165538,14543,2360,3263,42.2003628739753,0.0185752313868198,3477.1421841309,33444,432.531086716896,672.548913283104,0.95,0.145,0.384253121475355,0.608597489125768,0,0,0.608597489125768,1.60859748912577
11001,11,"Bogotá, D.C.","Bogotá_DC","2021",7823334,7823334,3746794,4076540,3046497,1351450,1695047,0.0787913835477808,7879.13835477808,817,853,1670,21.35,1656,54.3575129074475,12837,1154,324,46888,52541,671.593466417259,16546,3102,39.6506144311364,46318,592.049374346027,14040,1470,2536,32.4158472589819,0.0172463652516316,3178.4701471232,56398,720.894697835987,384.185302164013,0.849,0.115,0.389411598686698,0.34765383697471,0,0,0.34765383697471,1.34765383697471
11001,11,"Bogotá, D.C.","Bogotá_DC","2022",7873316,7873316,3770222,4103094,3107449,1377038,1730411,0.0881297545571982,8812.97545571982,976,1130,2106,26.75,2090,67.2577409959102,11249,2932,906,48505,52917,672.10562868301,16751,2681,34.0517261087958,47604,604.62453177289,14353,2643,4117,52.2905469563269,0.0170290807668927,3979.81744996882,52469,666.415523014699,438.664476985301,0.841,0.105,0.394681097519774,0.396952688479839,0,0,0.396952688479839,1.39695268847984
11001,11,"Bogotá, D.C.","Bogotá_DC","2023",7907281,7907281,3786692,4120589,3167294,1403203,1764091,0.130810657596372,13081.0657596372,972,1144,2116,26.76,2105,66.460518032112,17632,3964,1532,48881,57411,726.052356050076,17220,4392,55.543745062304,48161,609.071563284522,21805,2888,4130,52.2303431482959,0.0181261985783448,3685.70483008483,51594,652.487245615781,452.592754384219,0.88,0.074,0.400554122207115,0.409556551909562,0,0,0.409556551909562,1.40955655190956
13001,13,"Bolívar","Cartagena de Indias","2020",1017616,2169294,1076788,1092506,726996,348288,378708,0.0300166759310728,3001.66759310728,226,157,383,17.66,380,52.2698886926476,1051,210,210,4521,5096,234.915138289231,1257,206,9.49617709724915,4439,204.628787061597,1384,243,242,11.1557031919141,0.00700966717836137,7515.69858712716,1933,89.1073316940903,1015.97266830591,0.916,0.261,0.335130231310279,0.919365718595857,0,0,0.919365718595857,1.91936571859586
13001,13,"Bolívar","Cartagena de Indias","2021",1032133,2202773,1093153,1109620,745807,356886,388921,0.0261723009814613,2617.23009814613,256,176,432,19.61,426,57.1193351631186,1352,253,112,5111,5555,252.182135880547,1754,348,15.7982688184393,5043,228.938705894797,1643,182,193,8.76168356884709,0.00744830767209211,7776.77767776778,3914,177.685126883251,927.394873116749,0.851,0.231,0.338576421628556,0.839210621056167,0,0,0.839210621056167,1.83921062105617
13001,13,"Bolívar","Cartagena de Indias","2022",1043185,2227184,1105151,1122033,763280,364976,398304,0.0345572354211663,3455.72354211663,274,210,484,21.73,474,62.1004087621843,2144,546,203,5711,6566,294.811744337244,1706,1002,44.9895473387021,5612,251.977384895006,2679,324,381,17.1068039281891,0.00860234776228907,7371.30673164788,3588,161.100295260742,943.979704739258,0.888,0.196,0.342710795336173,0.85421843191376,0,0,0.85421843191376,1.85421843191376
13001,13,"Bolívar","Cartagena de Indias","2023",1052015,2247283,1115128,1132155,780865,373247,407618,0.0368589743589744,3685.89743589744,259,216,475,21.14,467,59.8054721366689,2011,543,356,4856,6088,270.904910507488,759,878,39.0694006940826,4760,211.811329503227,2664,261,424,18.8672276700353,0.00779648210638203,7802.23390275953,3969,176.613270335779,928.466729664221,0.897,0.172,0.347470701286843,0.840180556759892,0,0,0.840180556759892,1.84018055675989
15001,15,"Boyacá","Tunja","2020",179205,1257289,619570,637719,511595,241137,270458,0.0482041587901701,4820.41587901701,299,248,547,43.51,544,106.334111944018,1693,290,267,9012,9637,766.490440940786,4792,201,15.9867779007054,8789,699.043736165671,2108,666,901,71.6621238235601,0.0188371661177298,5676.04026149217,1929,153.425346121695,951.654653878305,0.768,0.282,0.406903265677183,0.861163584426743,0,0,0.861163584426743,1.86116358442674
